,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER_map
273,Andhra Pradesh,BAPATLA,NOTA,0,NOTA,,,,,,,,,13178,40,13218,0.899997345,1.040789041,1468671,
286,Jammu & Kashmir,BARAMULLA,NOTA,0,NOTA,,,,,,,,,8070,58,8128,0.616814572,1.782460049,1317738,
293,West Bengal,BARASAT,NOTA,0,NOTA,,,,,,,,,17747,32,17779,1.034714349,1.273390374,1718252,
298,West Bengal,BARDHAMAN DURGAPUR,NOTA,0,NOTA,,,,,,,,,18526,14,18540,1.069464426,1.293618636,1733578,
305,Gujarat,BARDOLI,NOTA,0,NOTA,,,,,,,,,22823,91,22914,1.254512665,1.697779787,1826526,
312,Odisha,BARGARH,NOTA,0,NOTA,,,,,,,,,14127,40,14167,0.88749538,1.132383433,1596290,
315,Rajasthan,BARMER,NOTA,0,NOTA,,,,,,,,,18989,7,18996,0.97855433,1.335043486,1941231,
325,West Bengal,BARRACKPORE,NOTA,0,NOTA,,,,,,,,,12711,20,12731,0.886293877,1.15244062,1436431,
332,Chhattisgarh,BASTAR,NOTA,0,NOTA,,,,,,,,,41656,11,41667,3.021270054,4.559945106,1379122,
346,Punjab,BATHINDA,NOTA,0,NOTA,,,,,,,,,13220,103,13323,0.821559983,1.107856108,1621671,
354,Bihar,BEGUSARAI,NOTA,0,NOTA,,,,,,,,,20408,37,20445,1.043974056,1.666934365,1958382,
363,Odisha,BERHAMPUR,NOTA,0,NOTA,,,,,,,,,14363,18,14381,0.95716677,1.452498619,1502455,
367,Madhya Pradesh,BETUL,NOTA,0,NOTA,,,,,,,,,22781,6,22787,1.311529569,1.677567259,1737437,
376,Bihar,BHAGALPUR,NOTA,0,NOTA,,,,,,,,,31528,39,31567,1.730817734,3.026029974,1823820,
391,Gujarat,BHAVNAGAR,NOTA,0,NOTA,,,,,,,,,16115,268,16383,0.926484635,1.568889204,1768297,
394,Rajasthan,BHILWARA,NOTA,0,NOTA,,,,,,,,,17388,30,17418,0.872065079,1.328592971,1997328,
404,Maharashtra,BHIWANDI,NOTA,0,NOTA,,,,,,,,,16355,42,16397,0.867520237,1.630560707,1890100,
426,Karnataka,BIJAPUR,NOTA,0,NOTA,,,,,,,,,12280,6,12286,0.683471787,1.104366499,1797587,
432,Rajasthan,BIKANER (SC),NOTA,0,NOTA,,,,,,,,,13426,84,13510,0.729628197,1.227623807,1851628,
446,West Bengal,BISHNUPUR,NOTA,0,NOTA,,,,,,,,,14414,22,14436,0.887168687,1.015767761,1627199,
