,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,CRIMINAL CASES,CATEGORY,EDUCATION,ASSETS,LIABILITIES,WINNER,AGE,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER
511,Tamil Nadu,CHENNAI SOUTH,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,DMK,Rising Sun,0,GENERAL,Doctorate,91793460,500000,1.0,56.0,563240.0,1632.0,564872.0,28.62237419,50.15106438,1973533.0,FEMALE
512,Tamil Nadu,CHENNAI SOUTH,Dr.J.JAYAVARDHAN,AIADMK,Two Leaves,0,GENERAL,Graduate Professional,32896587,9621000,0.0,31.0,302152.0,497.0,302649.0,15.3353909,26.87010417,1973533.0,MALE
513,Tamil Nadu,CHENNAI SOUTH,R.RANGARAJAN,MNM,Battery Torch,0,GENERAL,Graduate,22654934,689310,0.0,40.0,135334.0,131.0,135465.0,6.86408588,12.02699715,1973533.0,MALE
514,Tamil Nadu,CHENNAI SOUTH,A.J.SHERINE,NTK,Ganna Kisan,0,GENERAL,Post Graduate,3466760,0,0.0,26.0,50156.0,66.0,50222.0,2.544776297,4.458862813,1973533.0,FEMALE
515,Tamil Nadu,CHENNAI SOUTH,Dr.E.SUBAYA (A) ESAKKI SUBAYA,IND,Gift Pack,0,GENERAL,Doctorate,2375841961,18087123,0.0,55.0,29482.0,40.0,29522.0,1.495895939,2.621053482,1973533.0,MALE
517,Telangana,CHEVELLA,Dr. G. Ranjith Reddy,TRS,Car,0,GENERAL,Post Graduate,1634695131,197007553,1.0,54.0,527878.0,270.0,528148.0,21.61783823,40.5956043,2443112.0,MALE
518,Telangana,CHEVELLA,Konda Vishweshwar Reddy,INC,Hand,1,GENERAL,Graduate Professional,8950179170,358127700,0.0,59.0,513180.0,651.0,513831.0,21.03182335,39.49514142,2443112.0,MALE
519,Telangana,CHEVELLA,B. Janardhan Reddy,BJP,Lotus,0,GENERAL,Others,1197313405,66870634,0.0,58.0,201664.0,296.0,201960.0,8.266505997,15.52346737,2443112.0,MALE
520,Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,INC,Hand,0,GENERAL,Graduate,6601946757,8791712,1.0,44.0,586551.0,754.0,587305.0,38.77156002,47.04167795,1514783.0,MALE
521,Madhya Pradesh,CHHINDWARA,NATHANSAHA KAWRETI,BJP,Lotus,0,ST,10th Pass,9006200,236000,0.0,57.0,548845.0,924.0,549769.0,36.29358132,44.03513718,1514783.0,MALE
522,Madhya Pradesh,CHHINDWARA,MANMOHAN SHAH BATTI,ABGP,Battery Torch,2,ST,Post Graduate,6264000,2075000,0.0,56.0,35871.0,97.0,35968.0,2.374465518,2.880947842,1514783.0,MALE
524,Madhya Pradesh,CHHINDWARA,GYANESHWAR GAJBHIYE,BSP,Elephant,0,SC,10th Pass,3361876,0,0.0,45.0,14262.0,13.0,14275.0,0.942379205,1.143392194,1514783.0,MALE
525,Gujarat,CHHOTA UDAIPUR,RATHVA GITABEN VAJESINGBHAI,BJP,Lotus,0,ST,12th Pass,8634660,0,1.0,47.0,761472.0,2973.0,764445.0,45.74083038,61.89562408,1671253.0,FEMALE
526,Gujarat,CHHOTA UDAIPUR,RATHAVA RANJITSINH MOHANSINH,INC,Hand,0,ST,Graduate,34721898,3769537,0.0,53.0,384059.0,2443.0,386502.0,23.12648055,31.29431483,1671253.0,MALE
528,Gujarat,CHHOTA UDAIPUR,RATHVA FURKANBHAI BALAJIBHAI,BSP,Elephant,0,ST,Literate,880000,500000,0.0,48.0,14948.0,16.0,14964.0,0.895376104,1.211605961,1671253.0,MALE
529,Tamil Nadu,CHIDAMBARAM,THIRUMAAVALAVAN THOL,VCK,Pot,3,SC,Doctorate,9244092,394248,1.0,56.0,498401.0,1828.0,500229.0,33.79418763,43.33774887,1480222.0,MALE
530,Tamil Nadu,CHIDAMBARAM,CHANDRASEKAR P,AIADMK,Two Leaves,0,SC,Post Graduate,27182370,5873380,0.0,46.0,495432.0,1578.0,497010.0,33.57672025,43.05886817,1480222.0,MALE
531,Tamil Nadu,CHIDAMBARAM,ELAVARASAN A,IND,Gift Pack,0,SC,Doctorate,14672869,5800000,0.0,55.0,62219.0,89.0,62308.0,4.209368595,5.398104582,1480222.0,MALE
532,Tamil Nadu,CHIDAMBARAM,SIVAJOTHI M,NTK,Ganna Kisan,Not Available,SC,Not Available,0,0,0.0,35.0,37329.0,142.0,37471.0,2.531444608,3.246330756,1480222.0,MALE
534,Tamil Nadu,CHIDAMBARAM,RAVI T,MNM,Battery Torch,0,SC,Others,2864000,500000,0.0,49.0,15260.0,74.0,15334.0,1.035925692,1.328473641,1480222.0,MALE
535,Karnataka,CHIKKBALLAPUR,B.N.Bache Gowda,BJP,Lotus,0,GENERAL,Graduate Professional,1153501141,0,1.0,76.0,744475.0,1437.0,745912.0,41.23840379,53.74056097,1808780.0,MALE
536,Karnataka,CHIKKBALLAPUR,M.Veerappa Moily,INC,Hand,0,GENERAL,Graduate Professional,234515884,104316683,0.0,79.0,563396.0,406.0,563802.0,31.17029158,40.62012108,1808780.0,MALE
537,Karnataka,CHIKKBALLAPUR,Dr. C.S.Dwarakanath,BSP,Elephant,0,GENERAL,Post Graduate,40844395,0,0.0,65.0,23418.0,28.0,23446.0,1.29623282,1.689208905,1808780.0,MALE
538,Karnataka,CHIKKBALLAPUR,S.Varalakshmi,CPI(M),"Hammer, Sickle and Star",3,GENERAL,12th Pass,969310,0,0.0,48.0,18639.0,9.0,18648.0,1.030971152,1.343528434,1808780.0,FEMALE
539,Karnataka,CHIKKODI,ANNASAHEB SHANKAR JOLLE,BJP,Lotus,0,GENERAL,12th Pass,344922831,195595693,1.0,55.0,641232.0,3785.0,645017.0,39.99966513,52.89266025,1612556.0,MALE
540,Karnataka,CHIKKODI,PRAKASH BABANNA HUKKERI,INC,Hand,0,GENERAL,10th Pass,192138555,3881000,0.0,72.0,524871.0,1269.0,526140.0,32.62770409,43.14451288,1612556.0,MALE
541,Karnataka,CHIKKODI,MACHENDRA DAVALU KADAPURE,BSP,Elephant,0,SC,8th Pass,186398,0,0.0,49.0,15508.0,67.0,15575.0,0.96585793,1.277180576,1612556.0,MALE
542,Karnataka,CHITRADURGA,A NARAYANASWAMY,BJP,Lotus,0,SC,Graduate,96197642,0,1.0,62.0,624200.0,1995.0,626195.0,35.56646956,50.23601972,1760633.0,MALE
543,Karnataka,CHITRADURGA,B N CHANDRAPPA,INC,Hand,0,SC,Post Graduate,48222730,0,0.0,64.0,545159.0,858.0,546017.0,31.01253924,43.80380038,1760633.0,MALE
544,Andhra Pradesh,CHITTOOR,N. REDDEPPA,YSRCP,Ceiling Fan,0,SC,Post Graduate,17355862,1341542,1.0,68.0,681325.0,5467.0,686792.0,43.84247931,52.04408795,1566499.0,MALE
545,Andhra Pradesh,CHITTOOR,NARAMALLI SIVA PRASAD,TDP,Bicycle,0,SC,Graduate Professional,69628816,0,0.0,67.0,545374.0,4147.0,549521.0,35.07956277,41.6418934,1566499.0,MALE
546,Andhra Pradesh,CHITTOOR,CHEEMALA. RANGAPPA,INC,Hand,0,SC,Graduate Professional,12832000,0,0.0,60.0,24497.0,146.0,24643.0,1.573125805,1.867410307,1566499.0,MALE
548,Andhra Pradesh,CHITTOOR,C. PUNYAMURTHY,BSP,Elephant,4,SC,Others,30323800,21635686,0.0,45.0,19952.0,110.0,20062.0,1.280690253,1.520268862,1566499.0,MALE
549,Rajasthan,CHITTORGARH,Chandra Prakash Joshi,BJP,Lotus,0,GENERAL,Graduate,19725115,100000,1.0,43.0,979946.0,2996.0,982942.0,48.75919621,67.35865839,2015911.0,MALE
550,Rajasthan,CHITTORGARH,Gopal Singh Shekhawat,INC,Hand,0,GENERAL,Graduate Professional,4594912,0,0.0,68.0,405681.0,1014.0,406695.0,20.17425372,27.86983319,2015911.0,MALE
552,Rajasthan,CHURU,RAHUL KASWAN,BJP,Lotus,0,GENERAL,Graduate,36723865,15163379,1.0,42.0,786573.0,6426.0,792999.0,39.27479714,59.59387437,2019104.0,MALE
553,Rajasthan,CHURU,RAFIQUE MANDELIA,INC,Hand,3,GENERAL,10th Pass,582281544,464721999,0.0,58.0,457117.0,1480.0,458597.0,22.71289641,34.46356427,2019104.0,MALE
